keys,en,de
IMPOSSIBLE_QUESTION_DISTRIBUTION_CONTENT,"Unfortunately, it is not possible to play {questions} questions with {teams} teams,\nso {remainder} questions are omitted at the end.\n\nDo you still want to continue?","Leider können bei {teams} Teams keine {questions} Fragen gespielt\nwerden, sodass am Ende {remainder} Fragen wegfallen.\n\nTrotzdem fortfahren?"
EMPTY_TEAM_NAMES_TITLE,Missing Team Names,Fehlende Teamnamen
EMPTY_TEAM_NAMES_CONTENT,"Not all teams have names, please add them.","Nicht alle Teams haben Namen,\nbitte fügen Sie diese hinzu."
DUPLICATE_TEAM_NAMES_TITLE,Duplicate Team Names,Doppelte Teamnamen
DUPLICATE_TEAM_NAMES_CONTENT,Some teams have the same name.\nPlease give every team a different name.,Manche Teams haben den gleichen Namen.\nBitte geben Sie jedem Team einen anderen Namen.
### PLAY QUIZ ###,,
STOP_GAME,Stop Game,Spiel Beenden
EDIT_MANUALLY,Edit manually,Manuell bearbeiten
HIDDEN_QUESTION,?,?
EXHAUSTED_QUESTION,X,X
QUESTION_INTRO,{category}\n{points} Points,{category}\n{points} Punkte
CATEGORY_POINTS,{category} ({points}),{category} ({points})
TOURNAMENT_QUESTION,Tournament Question!,Turnierfrage!
YOU_HAVE_X_SECONDS,You have {0} seconds!,Ihr habt {0} Sekunden Zeit!
CORRECT,Correct,Richtig
WRONG,Wrong,Falsch
NOBODY,Nobody,Niemand
CORRECT_STATES,Well done!:Not bad!:You nailed it!:That's right!,Gut gemacht!:Nicht schlecht!:Saubere Leistung!:Richtige Antwort!
CORRECT_SUB,You received {0} points!,Ihr erhaltet {0} Punkte!
CORRECT_SUB_SECRET,{0}$ were added to your bank account.,{0}€ wurden auf euer Konto überwiesen.
WRONG_STATES,That wasn't quite right.:Next time will be better!:A miss is a miss.:That's wrong!,Das war nicht ganz richtig.:Nächstes Mal wird besser!:Knapp daneben ist auch vorbei:Das ist leider falsch.
WRONG_SUB,You get nothing.,Ihr bekommt genau gar nichts.
WRONG_SUB_PASSING,Maybe {0} can do better?,Vielleicht kann es {0} besser?
TEAM_WON,{0} won!,{0} hat gewonnen!
TEAM_WON_SUB,{0} points were added to your score!,Eure Punktzahl wurde um {0} Punkte erhöht!
NOBODY_WON,Nobody won!,Niemand hat gewonnen!
NOBODY_WON_SUB,(However that is even possible...),(Wie auch immer das überhaupt möglich ist...)
X,X,X
NEXT_UP,Next up:\n{0},Als nächstes:\n{0}
TIME_UP,Time's up!,Die Zeit ist um!
TEAM_TURN,It's {0}'s turn!,{0} ist an der Reihe!
